English,VietNam
the,các
of,của
to,ĐẾN
and,Và
a,Một
in,TRONG
is,là
it,Nó
you,Bạn
that,cái đó
he,Anh ta
was,đã từng là
for,vì
on,TRÊN
are,là
with,với
as,BẰNG
I,TÔI
his,của anh ấy
they,họ
be,là
at,Tại
one,một
have,có
this,cái này
from,từ
or,hoặc
had,có
by,qua
not,không
word,từ
but,Nhưng
what,Gì
some,một số
we,chúng tôi
can,Có thể
out,ngoài
other,khác
were,đã từng
all,tất cả
there,ở đó
when,khi
up,hướng lên
use,sử dụng
your,của bạn
how,Làm sao
said,nói
an,MỘT
each,mỗi
she,cô ấy
which,cái mà
do,LÀM
their,của họ
time,thời gian
if,nếu như
will,sẽ
way,đường
about,Về
many,nhiều
then,sau đó
them,họ
write,viết
would,sẽ
like,giống
so,Vì thế
these,những cái này
her,cô ấy
long,dài
make,làm
thing,điều
see,nhìn thấy
him,anh ta
two,hai
has,có
look,Nhìn
more,hơn
day,ngày
could,có thể
go,đi
come,đến
did,làm
number,con số
sound,âm thanh
no,KHÔNG
most,hầu hết
people,mọi người
my,Của tôi
over,qua
know,biết
water,Nước
than,hơn
call,gọi 
first,Đầu tiên
who,Ai
may,có thể
down,xuống
side,bên
been,là
now,Hiện nay
find,tìm thấy
any,bất kì
new,mới
work,công việc
part,phần
take,lấy
get,lấy
place,địa điểm
made,làm ra
live,sống
where,Ở đâu
after,sau đó
back,mặt sau
little,nhỏ bé
only,chỉ một
round,tròn
man,người đàn ông
year,năm
came,đã đến
show,trình diễn
every,mọi
good,Tốt
me,Tôi
give,đưa cho
our,của chúng tôi
under,dưới
name,tên
very,rất
through,bởi vì
just,chỉ
form,hình thức
sentence,câu
great,Tuyệt
think,nghĩ
say,nói
help,giúp đỡ
low,thấp
line,đường kẻ
differ,khác nhau
turn,xoay
cause,gây ra
much,nhiều
mean,nghĩa là
before,trước
move,di chuyển
right,Phải
boy,con trai
old,cũ
too,cũng vậy
same,như nhau
tell,kể
does,làm
set,bộ
three,ba
want,muốn
air,không khí
well,Tốt
also,Mà còn
play,chơi
small,bé nhỏ
end,kết thúc
put,đặt
home,trang chủ
read,đọc
hand,tay
port,Hải cảng
large,lớn
spell,Đánh vần
add,thêm vào
even,thậm chí
land,đất
here,đây
must,phải
big,to lớn
high,cao
such,như là
follow,theo
act,hành động
why,Tại sao
ask,hỏi
men,Đàn ông
change,thay đổi
went,đi
light,ánh sáng
kind,loại
off,tắt
need,nhu cầu
house,căn nhà
picture,hình ảnh
try,thử
us,chúng ta
again,lại
animal,động vật
point,điểm
mother,mẹ
world,thế giới
near,gần
build,xây dựng
self,bản thân
earth,trái đất
father,bố
head,cái đầu
stand,đứng
own,sở hữu
page,trang
should,nên
country,quốc gia
found,thành lập
answer,trả lời
school,trường học
grow,phát triển
study,học
still,vẫn
learn,học hỏi
plant,thực vật
cover,che phủ
food,đồ ăn
sun,mặt trời
four,Bốn
between,giữa
state,tình trạng
keep,giữ
eye,mắt 
never,không bao giờ
last,cuối cùng
let,cho phép
thought,nghĩ
city,thành phố
tree,cây
cross,đi qua
farm,nông trại
hard,cứng
start,bắt đầu
might,có thể
story,câu chuyện
saw,cái cưa
far,xa
sea,biển
draw,vẽ tranh
left,bên trái
late,muộn
run,chạy
don't,đừng
while,trong khi
press,nhấn
close,đóng
night,đêm
real,thực tế
life,mạng sống
few,một vài
north,phía bắc
open,mở
seem,có vẻ
together,cùng nhau
next,Kế tiếp
white,trắng
children,những đứa trẻ
begin,bắt đầu
got,lấy 
walk,đi bộ
example,ví dụ
ease,xoa dịu
paper,giấy
group,nhóm
always,luôn luôn
music,âm nhạc
those,những thứ kia
both,cả hai
mark,đánh dấu
often,thường
letter,thư
until,cho đến khi
mile,dặm
river,dòng sông
car,xe hơi
feet,bàn chân
care,quan tâm
second,thứ hai
book,sách
carry,mang
took,lấy đi
science,khoa học
eat,ăn
room,phòng
friend,bạn
began,đã bắt đầu
idea,ý tưởng
fish,cá
mountain,núi
stop,dừng lại
once,một lần
base,căn cứ
hear,nghe
horse,ngựa
cut,cắt
sure,Chắc chắn
watch,đồng hồ 
color,màu sắc
face,khuôn mặt
wood,gỗ
main,chủ yếu
enough,đủ
plain,đơn giản
girl,con gái
usual,thường
young,trẻ
ready,sẵn sàng
above,bên trên
ever,bao giờ
red,màu đỏ
list,danh sách
though,mặc dù
feel,cảm thấy
talk,nói chuyện
bird,chim
soon,sớm
body,thân hình
dog,chó
family,gia đình
direct,trực tiếp
pose,tư thế
leave,rời khỏi
song,bài hát
measure,đo lường
door,cửa
product,sản phẩm
black,đen
short,ngắn
numeral,chữ số
class,lớp học
wind,gió
question,câu hỏi
happen,xảy ra
complete,hoàn thành
ship,tàu thủy
area,khu vực
half,một nửa
rock,đá
order,đặt hàng
fire,ngọn lửa
south,phía nam
problem,vấn đề
piece,cái
told,nói
knew,biết
pass,vượt qua
since,từ
top,đứng đầu
whole,trọn
king,nhà vua
space,không gian
heard,đã nghe
best,tốt nhất
hour,giờ
better,tốt hơn
TRUE,ĐÚNG VẬY
during,trong lúc
hundred,Hàng trăm
five,năm
remember,nhớ
step,bước chân
early,sớm
hold,giữ
west,hướng Tây
ground,đất
interest,quan tâm
reach,với tới
fast,nhanh
verb,Động từ
sing,hát
listen,Nghe
six,sáu
table,bàn
travel,du lịch
less,ít hơn
morning,buổi sáng
ten,mười
simple,đơn giản
several,một số
vowel,nguyên âm
toward,theo hướng
war,chiến tranh
lay,đặt nằm
against,chống lại
pattern,mẫu
slow,chậm
center,trung tâm
love,yêu
person,người
money,tiền bạc
serve,phục vụ
appear,xuất hiện
road,đường
map,bản đồ
rain,cơn mưa
rule,luật lệ
govern,quản lý
pull,sự lôi kéo
cold,lạnh lẽo
notice,để ý
voice,tiếng nói
unit,đơn vị
power,quyền lực
town,thị trấn
fine,khỏe
certain,chắc chắn
fly,bay
fall,ngã
lead,chỉ huy
cry,khóc
dark,tối tăm
machine,máy móc
note,ghi chú
wait,Chờ đợi
plan,kế hoạch
figure,nhân vật
star,ngôi sao
box,hộp
noun,danh từ
field,cánh đồng
rest,nghỉ ngơi
correct,Chính xác
able,có thể
pound,pao
done,xong
beauty,sắc đẹp
drive,lái xe
stood,đứng
contain,bao gồm
front,đằng trước
teach,dạy bảo
week,tuần
final,cuối cùng
gave,đã đưa cho
green,màu xanh lá
oh,Ồ
quick,nhanh
develop,phát triển
ocean,đại dương
warm,ấm
free,miễn phí
minute,phút
strong,mạnh
special,đặc biệt
mind,tâm trí
behind,phía sau
clear,thông thoáng
tail,đuôi
produce,sản xuất
fact,sự thật
street,đường phố
inch,inch
multiply,nhân
nothing,Không có gì
course,khóa học
stay,ở lại
wheel,bánh xe
full,đầy
force,lực lượng
blue,màu xanh da trời
object,sự vật
decide,quyết định
surface,bề mặt
deep,sâu
moon,mặt trăng
island,hòn đảo
foot,chân
system,hệ thống
busy,bận
test,Bài kiểm tra
record,ghi 
boat,thuyền
common,chung
gold,vàng
possible,khả thi
plane,máy bay
stead,thay thế
dry,khô
wonder,thắc mắc
laugh,cười
thousand,ngàn
ago,trước kia
ran,đã chạy
check,kiểm tra
game,trò chơi
shape,hình dạng
equate,đánh đồng
hot,nóng
miss,cô
brought,đem lại
heat,nhiệt
snow,tuyết
tire,lốp xe
bring,mang đến 
yes,Đúng
distant,xa xôi
fill,đổ đầy
east,phía đông
paint,sơn
language,ngôn ngữ
among,giữa
grand,lớn
ball,quả bóng
yet,chưa
wave,sóng
drop,làm rơi
heart,trái tim
am,là
present,hiện tại
heavy,nặng
dance,nhảy
engine,động cơ
position,chức vụ
arm,cánh tay
wide,rộng
sail,chèo
material,vật liệu
size,kích cỡ
vary,thay đổi
settle,ổn định
speak,nói chuyện
weight,cân nặng
general,tổng quan
ice,đá
matter,vấn đề
circle,vòng tròn
pair,đôi
include,bao gồm
divide,chia
syllable,âm tiết
felt,cảm thấy
perhaps,có lẽ
pick,nhặt
sudden,đột nhiên
count,đếm
square,quảng trường
reason,lý do
length,chiều dài
represent,đại diện
art,nghệ thuật
subject,chủ thể
region,vùng đất
energy,năng lượng
hunt,săn bắn
probable,có thể xảy ra
bed,giường
brother,anh trai
egg,trứng
ride,lái
cell,tế bào
believe,tin tưởng
fraction,phân số
forest,rừng
sit,ngồi
race,loài 
window,cửa sổ
store,cửa hàng
summer,mùa hè
train,xe lửa
sleep,ngủ
prove,chứng minh
lone,đơn độc
leg,chân
exercise,bài tập
wall,tường
catch,nắm lấy
mount,gắn kết
wish,ước
sky,bầu trời
board,Cái bảng
joy,vui sướng
winter,mùa đông
sat,đã ngồi
written,bằng văn bản
wild,hoang dã
instrument,dụng cụ
kept,đã giữ
glass,thủy tinh
grass,cỏ
cow,bò
job,công việc
edge,bờ rìa
sign,dấu hiệu
visit,thăm nom
past,quá khứ
soft,mềm mại
fun,vui vẻ
bright,sáng
gas,khí ga
weather,thời tiết
month,tháng
million,triệu
bear,con gấu
finish,hoàn thành
happy,vui mừng
hope,mong
flower,hoa
clothe,mặc quần áo
strange,lạ lùng
gone,đi mất
jump,nhảy
baby,Đứa bé
eight,tám
village,làng bản
meet,gặp
root,nguồn gốc
buy,mua
raise,nâng lên
solve,gỡ rối
metal,kim loại
whether,liệu
push,xô
seven,Bảy
paragraph,đoạn văn
third,ngày thứ ba
shall,nên
held,cầm
hair,tóc
describe,mô tả
cook,đầu bếp
floor,sàn nhà
either,hoặc
result,kết quả
burn,đốt cháy
hill,đồi
safe,an toàn
cat,con mèo
century,thế kỷ
consider,coi như
type,kiểu
law,pháp luật
bit,chút
coast,bờ biển
copy,sao chép
phrase,cụm từ
silent,im lặng
tall,cao
sand,cát
soil,đất
roll,cuộn
temperature,nhiệt độ
finger,ngón tay
industry,ngành công nghiệp
value,giá trị
fight,trận đánh
lie,nói dối
beat,tiết tấu
excite,kích thích
natural,tự nhiên
view,xem
sense,giác quan
ear,tai
else,khác
quite,khá
broke,phá sản
case,trường hợp
middle,ở giữa
kill,giết
son,Con trai
lake,hồ
moment,chốc lát
scale,tỉ lệ
loud,ồn ào
spring,mùa xuân
observe,quan sát
child,đứa trẻ
straight,thẳng
consonant,phụ âm
nation,Quốc gia
dictionary,từ điển
milk,sữa
speed,tốc độ
method,phương pháp
organ,đàn organ
pay,chi trả
age,tuổi
section,phần
dress,đầm
cloud,đám mây
surprise,sự ngạc nhiên
quiet,im lặng
stone,cục đá
tiny,nhỏ xíu
climb,leo
cool,mát mẻ
design,thiết kế
poor,nghèo
lot,nhiều
experiment,cuộc thí nghiệm
bottom,đáy
key,chìa khóa
iron,sắt
single,đơn
stick,dán
flat,phẳng
twenty,hai mươi
skin,da
smile,nụ cười
crease,nếp nhăn
hole,hố
trade,buôn bán
melody,giai điệu
trip,chuyến đi
office,văn phòng
receive,nhận được
row,hàng ngang
mouth,miệng
exact,chính xác
symbol,biểu tượng
die,chết
least,ít nhất
trouble,rắc rối
shout,hét lên
except,ngoại trừ
wrote,đã viết
seed,hạt giống
tone,tấn
join,tham gia
suggest,gợi ý
clean,lau dọn
break,phá vỡ
lady,quý bà
yard,sân
rise,tăng lên
bad,xấu
blow,thổi
oil,dầu
blood,máu
touch,chạm
grew,lớn lên
cent,xu
mix,pha trộn
team,đội
wire,dây điện
cost,trị giá
lost,mất
brown,màu nâu
wear,mặc
garden,vườn
equal,bình đẳng
sent,đã gửi
choose,chọn
fell,rơi
fit,phù hợp
flow,chảy
fair,hội chợ
bank,ngân hàng
collect,sưu tầm
save,cứu
control,điều khiển
decimal,số thập phân
gentle,dịu dàng
woman,đàn bà
captain,đội trưởng
practice,luyện tập
separate,chia
difficult,khó 
doctor,bác sĩ
please,Xin vui lòng
protect,bảo vệ
noon,buổi trưa
whose,của ai
locate,định vị
ring,nhẫn
character,tính cách
insect,côn trùng
caught,bắt gặp
period,Giai đoạn
indicate,biểu thị
radio,Đài
spoke,đã nói
atom,nguyên tử
human,nhân loại
history,lịch sử
effect,tác dụng
electric,điện
expect,trông chờ
crop,mùa vụ
modern,hiện đại
element,yếu tố
hit,đánh
student,học sinh
corner,góc
party,buổi tiệc
supply,cung cấp
bone,xương
rail,đường sắt
imagine,tưởng tượng
provide,cung cấp
agree,đồng ý
thus,do đó
capital,thủ đô
won't,sẽ không
chair,cái ghế
danger,sự nguy hiểm
fruit,hoa quả
rich,giàu có
thick,dày
soldier,lính
process,quá trình
operate,vận hành
guess,đoán
necessary,cần thiết
sharp,sắc
wing,cánh
create,tạo nên
neighbor,hàng xóm
wash,rửa
bat,con dơi
rather,hơn là
crowd,đám đông
corn,Ngô
compare,so sánh
poem,Bài thơ
string,sợi dây
bell,chuông
depend,phụ thuộc
meat,thịt
rub,Chà
tube,ống
famous,nổi tiếng
dollar,Đô la
stream,suối
fear,nỗi sợ
sight,thị giác
thin,gầy
triangle,Tam giác
planet,hành tinh
hurry,sự vội vàng
chief,Trưởng phòng
colony,thuộc địa
clock,cái đồng hồ
mine,của tôi
tie,cà vạt
enter,đi vào
major,lớn lao
fresh,tươi
search,tìm kiếm
send,gửi
yellow,màu vàng
gun,Súng
allow,cho phép
print,in
dead,chết
spot,điểm
desert,sa mạc
suit,bộ đồ
current,hiện hành
lift,thang máy
rose,hoa hồng
continue,Tiếp tục
block,khối
chart,đồ thị
hat,Mũ
sell,bán
success,thành công
company,công ty
subtract,trừ
event,sự kiện
particular,cụ thể
deal,thỏa thuận
swim,bơi
term,thuật ngữ
opposite,đối diện
wife,vợ
shoe,giày
shoulder,vai
spread,lây lan
arrange,sắp xếp
camp,trại
invent,phát minh
cotton,bông
born,sinh ra
determine,quyết tâm
quart,Quart
nine,chín
truck,xe tải
noise,tiếng ồn
level,mức độ
chance,cơ hội
gather,tập trung
shop,cửa hàng
stretch,kéo dài
throw,ném
shine,chiếu sáng
property,tài sản
column,cột
molecule,phân tử
select,lựa chọn
wrong,sai
gray,xám
repeat,lặp lại
require,yêu cầu
broad,rộng lớn
prepare,chuẩn bị
salt,muối
nose,mũi
plural,số nhiều
anger,sự tức giận
claim,khẳng định
continent,lục địa
oxygen,ôxy
sugar,đường
death,cái chết
pretty,đẹp
skill,kỹ năng
women,phụ nữ
season,mùa
solution,giải pháp
magnet,nam châm
silver,bạc
thank,cám ơn
branch,chi nhánh
match,cuộc thi đấu
suffix,Hậu tố
especially,đặc biệt
fig,quả sung
afraid,sợ
huge,to lớn
sister,em gái
steel,Thép
discuss,bàn luận
forward,phía trước
similar,tương tự
guide,hướng dẫn
experience,kinh nghiệm
score,điểm
apple,quả táo
bought,mua
led,dẫn đến
pitch,sân bóng đá
coat,áo choàng
mass,khối
card,Thẻ
band,ban nhạc
rope,dây thừng
slip,trượt
win,thắng
dream,mơ
evening,buổi tối
condition,tình trạng
feed,cho ăn
tool,dụng cụ
total,tổng cộng
basic,nền tảng
smell,mùi
valley,thung lũng
nor,cũng không
double,gấp đôi
seat,ghế
arrive,đến
master,bậc thầy
track,theo dõi
parent,cha mẹ
shore,bờ biển
division,phân công
sheet,tờ giấy
substance,chất
favor,ủng hộ
connect,kết nối
post,bưu kiện
spend,tiêu
chord,dây nhau
fat,mập
glad,vui mừng
original,nguyên bản
share,chia sẻ
station,ga tàu
dad,bố
bread,bánh mỳ
charge,thù lao
proper,thích hợp
bar,quán ba
offer,lời đề nghị
segment,bộ phận
slave,nô lệ
duck,con vịt
instant,lập tức
market,chợ
degree,bằng cấp
populate,cư trú
chick,gà con
dear,Thân mến
enemy,kẻ thù
reply,hồi đáp
drink,uống
occur,xảy ra
support,ủng hộ
speech,lời nói
nature,thiên nhiên
range,phạm vi
steam,hơi nước
motion,cử động
path,con đường
liquid,chất lỏng
log,đăng nhập
meant,có nghĩa là
quotient,chỉ số
teeth,răng
shell,vỏ bọc
neck,cổ 